
央视,#genre#
半岛国际新闻台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=aljazeera
寰宇新闻台湾台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=global-news-tw
TVBS HD,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvbs-hd
TVBS 新闻台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvbs-news
东森新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ebc-news
东森财经新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ebc-finance
壹新闻 HD,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=nexttv
年代新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=era-news
寰宇新闻台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=global-news
台视新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=ttv-news
寰宇財經台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=global-finance
华视新闻,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=cts-news
镜电视新闻台,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=mnews

新马新增频道！,#genre#
BeritaRTM,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=beritartm
SukanRTM,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=sukanrtm
DramaSangat,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=dramasangat
tvN,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tvn
TV1,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tv1-my
TV2,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tv2-my
TV3,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tv3-my
Astro RIA,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=astro-ria
Astro AURA,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=astra-aura
TV Alhijrah,http://xztv.hk3.20212021.cf.cdn.cloudflare.net/iptv499/xsjtv.php?id=tv-alhijrah
