山东联通,#genre#
北京卫视,http://www.cjtt.love:9307/rtp/239.253.250.85:8000
东方卫视,http://www.cjtt.love:9307/rtp/239.253.250.86:8000
安徽卫视,http://www.cjtt.love:9307/rtp/239.253.250.87:8000
湖北卫视,http://www.cjtt.love:9307/rtp/239.253.250.88:8000
天津卫视,http://www.cjtt.love:9307/rtp/239.253.250.89:8000
广东卫视,http://www.cjtt.love:9307/rtp/239.253.250.90:8000
深圳卫视,http://www.cjtt.love:9307/rtp/239.253.250.91:8000
辽宁卫视,http://www.cjtt.love:9307/rtp/239.253.250.92:8000
黑龙江卫视,http://www.cjtt.love:9307/rtp/239.253.250.93:8000
东南卫视,http://www.cjtt.love:9307/rtp/239.253.250.105:8000
旅游卫视,http://www.cjtt.love:9307/rtp/239.253.250.35:8000
重庆卫视,http://www.cjtt.love:9307/rtp/239.253.250.38:8000
广西卫视,http://www.cjtt.love:9307/rtp/239.253.250.40:8000
云南卫视,http://www.cjtt.love:9307/rtp/239.253.250.42:8000
河南卫视,http://www.cjtt.love:9307/rtp/239.253.250.44:8000
吉林卫视,http://www.cjtt.love:9307/rtp/239.253.250.46:8000
江西卫视,http://www.cjtt.love:9307/rtp/239.253.250.47:8000
山西卫视,http://www.cjtt.love:9307/rtp/239.253.250.48:8000
陕西卫视,http://www.cjtt.love:9307/rtp/239.253.250.49:8000
四川卫视,http://www.cjtt.love:9307/rtp/239.253.250.50:8000
甘肃卫视,http://www.cjtt.love:9307/rtp/239.253.250.52:8000
宁夏卫视,http://www.cjtt.love:9307/rtp/239.253.250.53:8000
青海卫视,http://www.cjtt.love:9307/rtp/239.253.250.54:8000
西藏卫视,http://www.cjtt.love:9307/rtp/239.253.250.56:8000
兵团卫视,http://www.cjtt.love:9307/rtp/239.253.250.57:8000
内蒙古卫视,http://www.cjtt.love:9307/rtp/239.253.250.58:8000
山东教育卫视,http://www.cjtt.love:9307/rtp/239.253.250.59:8000
新疆卫视,http://www.cjtt.love:9307/rtp/239.253.250.60:8000
农林卫视,http://www.cjtt.love:9307/rtp/239.253.250.70:8000
河北卫视,http://www.cjtt.love:9307/rtp/239.253.250.112:8000
贵州卫视,http://www.cjtt.love:9307/rtp/239.253.250.113:8000
厦门卫视,http://www.cjtt.love:9307/rtp/239.253.250.106:8000
CCTV1,http://www.sd966.cn:12314/rtp/239.253.252.77:8000
CCTV2,http://www.sd966.cn:12314/rtp/239.253.252.234:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.4:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.124:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.129:8000
CCTV3,http://www.sd966.cn:12314/rtp/239.253.252.191:8000
CCTV4,http://www.sd966.cn:12314/rtp/239.253.252.111:8000
CCTV5,http://www.sd966.cn:12314/rtp/239.253.252.6:8000
CCTV5,http://www.sd966.cn:12314/rtp/239.253.252.192:8000
央视网5,http://www.sd966.cn:12314/rtp/239.253.252.109:8000
央视网5,http://www.sd966.cn:12314/rtp/239.253.252.131:8000
CCTV5+,http://www.sd966.cn:12314/rtp/239.253.252.80:8000
CCTV6,http://www.sd966.cn:12314/rtp/239.253.252.7:8000
CCTV6,http://www.sd966.cn:12314/rtp/239.253.252.193:8000
CCTV7,http://www.sd966.cn:12314/rtp/239.253.252.235:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.211:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.9:8000
CCTV8,http://www.sd966.cn:12314/rtp/239.253.252.194:8000
CCTV9,http://www.sd966.cn:12314/rtp/239.253.252.79:8000
CCTV10,http://www.sd966.cn:12314/rtp/239.253.252.236:8000
CCTV11,http://www.sd966.cn:12314/rtp/239.253.252.12:8000
CCTV12,http://www.sd966.cn:12314/rtp/239.253.252.237:8000
CCTV13,http://www.sd966.cn:12314/rtp/239.253.252.14:8000
CCTV14,http://www.sd966.cn:12314/rtp/239.253.252.238:8000
CCTV14,http://www.sd966.cn:12314/rtp/239.253.252.223:8000
CCTV15,http://www.sd966.cn:12314/rtp/239.253.252.16:8000
CCTV17,http://www.sd966.cn:12314/rtp/239.253.252.168:8000
重庆卫视,http://www.sd966.cn:12314/rtp/239.253.252.38:8000
海南卫视,http://www.sd966.cn:12314/rtp/239.253.252.35:8000
广西卫视,http://www.sd966.cn:12314/rtp/239.253.252.40:8000
云南卫视,http://www.sd966.cn:12314/rtp/239.253.252.42:8000
河南卫视,http://www.sd966.cn:12314/rtp/239.253.252.44:8000
吉林卫视,http://www.sd966.cn:12314/rtp/239.253.252.46:8000
江西卫视,http://www.sd966.cn:12314/rtp/239.253.252.47:8000
四川卫视,http://www.sd966.cn:12314/rtp/239.253.252.50:8000
山西卫视,http://www.sd966.cn:12314/rtp/239.253.252.48:8000
陕西卫视,http://www.sd966.cn:12314/rtp/239.253.252.49:8000
青海卫视,http://www.sd966.cn:12314/rtp/239.253.252.54:8000
宁夏卫视,http://www.sd966.cn:12314/rtp/239.253.252.53:8000
内蒙古卫视,http://www.sd966.cn:12314/rtp/239.253.252.58:8000
西藏卫视,http://www.sd966.cn:12314/rtp/239.253.252.56:8000
兵团卫视,http://www.sd966.cn:12314/rtp/239.253.252.57:8000
山东教育卫视,http://www.sd966.cn:12314/rtp/239.253.252.59:8000
金鹰卡通,http://www.sd966.cn:12314/rtp/239.253.252.62:8000
新疆卫视,http://www.sd966.cn:12314/rtp/239.253.252.60:8000
大湾区卫视,http://www.sd966.cn:12314/rtp/239.253.252.69:8000
农林卫视,http://www.sd966.cn:12314/rtp/239.253.252.70:8000
甘肃卫视,http://www.sd966.cn:12314/rtp/239.253.252.74:8000
山东卫视,http://www.sd966.cn:12314/rtp/239.253.252.78:8000
湖南卫视,http://www.sd966.cn:12314/rtp/239.253.252.82:8000
江苏卫视,http://www.sd966.cn:12314/rtp/239.253.252.83:8000
安徽卫视,http://www.sd966.cn:12314/rtp/239.253.252.87:8000
北京卫视,http://www.sd966.cn:12314/rtp/239.253.252.85:8000
东方卫视,http://www.sd966.cn:12314/rtp/239.253.252.86:8000
浙江卫视,http://www.sd966.cn:12314/rtp/239.253.252.84:8000
湖北卫视,http://www.sd966.cn:12314/rtp/239.253.252.88:8000
广东卫视,http://www.sd966.cn:12314/rtp/239.253.252.90:8000
黑龙江卫视,http://www.sd966.cn:12314/rtp/239.253.252.93:8000
辽宁卫视,http://www.sd966.cn:12314/rtp/239.253.252.92:8000
东方财经,http://www.sd966.cn:12314/rtp/239.253.252.94:8000
天津卫视,http://www.sd966.cn:12314/rtp/239.253.252.89:8000
深圳卫视,http://www.sd966.cn:12314/rtp/239.253.252.91:8000
东南卫视,http://www.sd966.cn:12314/rtp/239.253.252.105:8000
贵州卫视,http://www.sd966.cn:12314/rtp/239.253.252.113:8000
厦门卫视,http://www.sd966.cn:12314/rtp/239.253.252.106:8000
河北卫视,http://www.sd966.cn:12314/rtp/239.253.252.112:8000
三沙卫视,http://www.sd966.cn:12314/rtp/239.253.252.171:8000
贵州卫视,http://www.sd966.cn:12314/rtp/239.253.252.243:8000
CCTV1,http://router.bingyu.in:40000/rtp/239.253.252.77:8000
CCTV2,http://router.bingyu.in:40000/rtp/239.253.252.234:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.4:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.124:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.129:8000
CCTV3,http://router.bingyu.in:40000/rtp/239.253.252.191:8000
CCTV4,http://router.bingyu.in:40000/rtp/239.253.252.111:8000
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.6:8000
CCTV5,http://router.bingyu.in:40000/rtp/239.253.252.192:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.109:8000
央视网5,http://router.bingyu.in:40000/rtp/239.253.252.131:8000
CCTV5+,http://router.bingyu.in:40000/rtp/239.253.252.80:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.7:8000
CCTV6,http://router.bingyu.in:40000/rtp/239.253.252.193:8000
CCTV7,http://router.bingyu.in:40000/rtp/239.253.252.235:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.211:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.9:8000
CCTV8,http://router.bingyu.in:40000/rtp/239.253.252.194:8000
CCTV9,http://router.bingyu.in:40000/rtp/239.253.252.79:8000
CCTV10,http://router.bingyu.in:40000/rtp/239.253.252.236:8000
CCTV11,http://router.bingyu.in:40000/rtp/239.253.252.12:8000
CCTV12,http://router.bingyu.in:40000/rtp/239.253.252.237:8000
CCTV13,http://router.bingyu.in:40000/rtp/239.253.252.14:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.238:8000
CCTV14,http://router.bingyu.in:40000/rtp/239.253.252.223:8000
CCTV15,http://router.bingyu.in:40000/rtp/239.253.252.16:8000
CCTV17,http://router.bingyu.in:40000/rtp/239.253.252.168:8000
重庆卫视,http://router.bingyu.in:40000/rtp/239.253.252.38:8000
海南卫视,http://router.bingyu.in:40000/rtp/239.253.252.35:8000
广西卫视,http://router.bingyu.in:40000/rtp/239.253.252.40:8000
云南卫视,http://router.bingyu.in:40000/rtp/239.253.252.42:8000
河南卫视,http://router.bingyu.in:40000/rtp/239.253.252.44:8000
吉林卫视,http://router.bingyu.in:40000/rtp/239.253.252.46:8000
江西卫视,http://router.bingyu.in:40000/rtp/239.253.252.47:8000
四川卫视,http://router.bingyu.in:40000/rtp/239.253.252.50:8000
山西卫视,http://router.bingyu.in:40000/rtp/239.253.252.48:8000
陕西卫视,http://router.bingyu.in:40000/rtp/239.253.252.49:8000
青海卫视,http://router.bingyu.in:40000/rtp/239.253.252.54:8000
宁夏卫视,http://router.bingyu.in:40000/rtp/239.253.252.53:8000
内蒙古卫视,http://router.bingyu.in:40000/rtp/239.253.252.58:8000
西藏卫视,http://router.bingyu.in:40000/rtp/239.253.252.56:8000
兵团卫视,http://router.bingyu.in:40000/rtp/239.253.252.57:8000
山东教育卫视,http://router.bingyu.in:40000/rtp/239.253.252.59:8000
金鹰卡通,http://router.bingyu.in:40000/rtp/239.253.252.62:8000
新疆卫视,http://router.bingyu.in:40000/rtp/239.253.252.60:8000
大湾区卫视,http://router.bingyu.in:40000/rtp/239.253.252.69:8000
农林卫视,http://router.bingyu.in:40000/rtp/239.253.252.70:8000
甘肃卫视,http://router.bingyu.in:40000/rtp/239.253.252.74:8000
山东卫视,http://router.bingyu.in:40000/rtp/239.253.252.78:8000
湖南卫视,http://router.bingyu.in:40000/rtp/239.253.252.82:8000
江苏卫视,http://router.bingyu.in:40000/rtp/239.253.252.83:8000
安徽卫视,http://router.bingyu.in:40000/rtp/239.253.252.87:8000
北京卫视,http://router.bingyu.in:40000/rtp/239.253.252.85:8000
东方卫视,http://router.bingyu.in:40000/rtp/239.253.252.86:8000
浙江卫视,http://router.bingyu.in:40000/rtp/239.253.252.84:8000
湖北卫视,http://router.bingyu.in:40000/rtp/239.253.252.88:8000
广东卫视,http://router.bingyu.in:40000/rtp/239.253.252.90:8000
黑龙江卫视,http://router.bingyu.in:40000/rtp/239.253.252.93:8000
辽宁卫视,http://router.bingyu.in:40000/rtp/239.253.252.92:8000
东方财经,http://router.bingyu.in:40000/rtp/239.253.252.94:8000
天津卫视,http://router.bingyu.in:40000/rtp/239.253.252.89:8000
深圳卫视,http://router.bingyu.in:40000/rtp/239.253.252.91:8000
东南卫视,http://router.bingyu.in:40000/rtp/239.253.252.105:8000
贵州卫视,http://router.bingyu.in:40000/rtp/239.253.252.113:8000
厦门卫视,http://router.bingyu.in:40000/rtp/239.253.252.106:8000
河北卫视,http://router.bingyu.in:40000/rtp/239.253.252.112:8000
三沙卫视,http://router.bingyu.in:40000/rtp/239.253.252.171:8000
贵州卫视,http://router.bingyu.in:40000/rtp/239.253.252.243:8000
CCTV1,http://ty.19911013.top:8888/rtp/239.253.230.77:8000
CCTV2,http://ty.19911013.top:8888/rtp/239.253.230.234:8000
CCTV3,http://ty.19911013.top:8888/rtp/239.253.230.4:8000
CCTV4,http://ty.19911013.top:8888/rtp/239.253.230.111:8000
CCTV5,http://ty.19911013.top:8888/rtp/239.253.230.6:8000
CCTV5+,http://ty.19911013.top:8888/rtp/239.253.230.80:8000
CCTV6,http://ty.19911013.top:8888/rtp/239.253.230.7:8000
CCTV7,http://ty.19911013.top:8888/rtp/239.253.230.235:8000
CCTV8,http://ty.19911013.top:8888/rtp/239.253.230.9:8000
CCTV9,http://ty.19911013.top:8888/rtp/239.253.230.79:8000
CCTV10,http://ty.19911013.top:8888/rtp/239.253.230.236:8000
CCTV11,http://ty.19911013.top:8888/rtp/239.253.230.12:8000
CCTV12,http://ty.19911013.top:8888/rtp/239.253.230.237:8000
CCTV13,http://ty.19911013.top:8888/rtp/239.253.230.14:8000
CCTV14,http://ty.19911013.top:8888/rtp/239.253.230.238:8000
CCTV15,http://ty.19911013.top:8888/rtp/239.253.230.16:8000
CCTV17,http://ty.19911013.top:8888/rtp/239.253.230.168:8000
CGTV,http://ty.19911013.top:8888/rtp/239.253.230.17:8000
CETV1,http://ty.19911013.top:8888/rtp/239.253.230.110:8000
CETV2,http://ty.19911013.top:8888/rtp/239.253.230.107:8000
